"id_q","reputation_a","votecount"
40719,5067,4
40719,12753,2
40769,1734,1
40769,785,1
40845,121,5
40845,719,7
41169,1174,6
41169,165,4
41204,6178,2
41273,105,4
41562,4539,2
41562,20,1
41583,2262,3
41640,720,2
42143,3212,7
42262,4878,2
42342,2335,1
42354,105,1
42386,6112,2
42386,491,12
42428,34104,3
42446,531,4
42468,289,3
42468,489,3
42732,31,1
42774,2335,2
42876,1260,3
42954,2749,1
42984,682,1
43006,931,1
43134,2128,30
43134,9,9
43199,18,2
43199,859,2
43201,28,2
43201,682,1
43243,8601,6
43291,1501,1
43504,489,2
43504,17775,1
43765,364,8
44144,15432,3
44144,1476,5
44298,4228,1
44337,399075,3
44337,833,3
44644,3001,2
44737,1307,4
44737,13508,4
44757,2012,4
44757,35434,1
44771,11642,1
44771,1088,2
44803,747,1
44803,301,1
44989,2128,7
44989,82,1
45042,1260,1
45042,5067,1
45075,1979,1
45075,5067,5
45078,3183,1
45078,317,2
45166,2450,1
45169,165,5
45169,1872,1
45235,584,1
45235,39,1
45267,381,1
45313,8601,1
45331,184,1
45361,6,3
45650,1759,14
45650,136,1
45658,402,1
45658,2185,1
45695,639,3
45716,390,1
45716,36,1
45729,1324,1
45729,2450,1
45736,3001,1
45736,1717,1
45769,3970,2
45796,481,1
45796,63,1
46003,14726,6
46003,2098,1
46084,1139,3
46084,6310,1
46130,1759,3
46130,1759,3
46173,2355,1
46277,31,1
46277,309,2
46377,6112,10
46532,211,1
46532,1759,1
46571,1181,8
46636,8679,5
46692,931,1
46693,1736,2
46697,966,2
46714,340,6
46863,5219,2
46863,865,3
46907,481,5
46909,37887,5
46909,136,13
46924,340,2
47144,6310,4
47144,1421,2
47145,6310,6
47203,489,7
47203,176,2
47262,1186,4
47309,5671,1
47329,7092,1
47374,1759,1
47374,572,5
47376,491,11
47538,165,3
47862,176,1
47883,316,2
47989,5472,1
47989,10470,10
48083,1737,2
48126,2062,2
48215,1601,6
48235,2450,5
48235,3310,13
48288,1759,2
48288,1759,6
48344,2275,1
48344,11134,2
48426,4421,13
48446,447,3
