ParentId, Reputation, Votes
722739,255,2
726629,14702,3
727113,917,2
727338,670,2
729497,522,10
729687,1660,5
730143,843,1
731093,3485,3
732207,3400,3
732563,3777,1
732754,31552,2
734583,1195,4
734990,360,1
736638,5732,9
736772,1257,1
737255,307,4
737809,729,4
738467,5395,11
738527,3259,1
738859,1393,6
739311,670,1
740302,1223,3
741294,8109,1
741857,916,1
743523,21469,1
744990,526,5
745595,491,2
745969,3001,2
746298,3583,5
749248,18696,1
750153,363,4
751392,10208,1
751455,2814,1
753537,973,3
753615,372,3
753636,289,3
754420,133,3
754546,639,2
754666,404,13
755796,1597,3
756216,93,4
757255,869,2
757809,5395,1
757922,26421,5
758605,5957,1
758794,1029,1
758880,1364,1
759551,2234,1
759903,12359,1
760761,161,4
760781,5104,3
763008,5616,8
763793,6275,2
765285,1424,1
765526,430,1
765854,959,3
766096,1380,3
766149,1173,2
766566,111,1
767181,5087,10
767944,25113,2
769156,4967,2
770107,2063,1
770342,528,2
770631,307,3
771966,397,6
773622,131,6
774774,1856,2
777858,1416,2
779318,548,2
782303,1257,3
783623,3321,2
785039,6037,2
785510,119027,1
788398,6680,1
789404,231,4
789818,1424,6
789827,41491,3
790525,259,4
791016,2884,2
791155,367,3
791352,3747,2
791600,1753,1
792891,1778,10
794531,834,4
795224,441,2
795312,278,1
795512,161,3
795963,3747,4
796734,712,2
797723,102,1
798553,181,1
799530,8226,1
801958,41491,2
802250,136,5
802348,417,9
802357,356,3
804180,2460,2
804969,385,10
805027,96,1
805199,3683,1
807457,347,1
807703,645,5
809356,2206,1
811217,669,2
811314,2895,2
811562,913,5
811737,9709,2
812146,718,2
812288,1663,4
812882,582,2
813240,6037,5
814637,62439,1
815074,99,12
815784,437,4
815845,1684,2
816288,238,2
816557,385,2
816963,498,1
817431,3001,3
817480,34320,1
818435,347,1
820423,1434,7
821220,1416,1
821375,238,1
822554,12699,4
823376,163,1
823727,163,2
824052,445,2
825107,3402,1
826307,3751,1
826663,659,4
826904,403,1
827395,648,8
829555,1037,19
831188,2068,4
831301,2687,1
831319,1343,1
831499,6728,2
832185,1958,4
832626,6018,2
833381,359,1
833481,933,1
835276,6325,1
835420,2884,2
835836,29488,1
836440,363,2
837993,2234,1
839465,41441,1
839705,1725,4
840011,414,4
840674,1037,1
841952,5313,4
843146,978,3
843290,1336,1
844027,2334,1
844145,18416,1
844388,5193,3
844862,978,4
846600,731,3
847448,137,2
849927,5762,3
849955,757,2
852794,126,5
852986,484,2
855647,33886,2
856588,4057,1
856761,881,1
858442,7873,1
858977,1255,3
859314,837,4
859496,404,3
860467,1481,5
860918,4984,3
861060,6438,1
861866,3736,1
862111,1045,2
862828,4537,4
863005,91,1
863285,363,1
863830,10224,1
865581,146,2
866860,152,5
867499,25113,1
867530,310,1
868701,184,5
869525,1318,2
870188,3400,1
871188,41932,1
872380,2781,3
873008,3723,2
873544,2325,4
873702,5757,1
876206,1007,1
876258,347,3
876617,12429,1
879704,131,4
882382,113,3
882407,259,3
882646,2128,1
883699,2265,4
883958,46431,1
886447,153,1
886451,509,1
888063,503,1
891016,185,1
891990,9790,2
892426,105,1
892777,98020,1
892934,598,1
894397,1038,3
896207,1037,2
896439,1403,1
897880,41491,1
898286,857,5
898519,657,10
898999,7337,1
899001,11935,1
899016,359,2
899057,3558,5
899198,1784,3
903637,958,1
905424,365,6
905530,347,1
905897,1149,1
905999,12332,2
906001,9523,5
907861,481,1
909264,919,4
911712,363,5
913489,1406,5
914036,133,1
915442,729,2
916067,117,7
917112,671,1
917138,2752,1
917379,10746,1
