ParentId, Reputation, Votes
1066172,123,2
1066450,114,1
1067409,106,2
1067730,89,1
1068165,82,1
1068752,77,1
1070158,101,11
1070486,101,1
1070572,101,2
1070882,97,3
1071370,75,8
1071894,110,3
1071904,80,6
1072119,100,2
1072375,83,6
1072581,80,1
1074200,117,4
1074729,120,2
1075048,93,4
1075387,102,2
1075423,99,2
1076881,101,1
1077580,83,3
1077609,93,2
1077649,121,1
1077777,98,3
1077959,108,1
1078964,88,5
1079023,78,2
1080202,103,3
1080327,76,2
1081085,93,1
1081789,96,1
1082460,81,4
1083391,76,2
1083702,101,2
1084392,99,10
1084408,99,5
1084978,117,5
1085637,81,2
1086127,78,3
1086994,117,5
1088010,99,3
1089004,93,1
1089054,116,2
1089662,76,5
1091518,99,1
1093426,102,3
1093710,120,2
1094147,103,1
1094297,98,1
1094533,105,1
1095352,83,2
1096300,117,2
1096477,88,7
1097645,77,1
1097936,116,3
1098379,93,5
1098407,121,1
1099954,114,1
1100040,83,1
1100199,81,1
1101660,99,3
1102134,117,1
1102516,87,1
1104477,99,1
1106772,111,1
1108101,116,2
1109136,81,3
1110363,103,1
1110705,117,2
1111692,99,1
1111707,81,4
1111991,81,1
1112228,81,2
1112896,103,2
1113705,106,2
1114963,114,2
1115212,114,6
1116275,99,2
1116721,113,1
1116745,96,1
1116788,119,2
1117750,88,2
1119740,81,2
1121411,115,1
1121703,99,1
1121823,100,1
1122609,87,2
1122775,115,1
1122810,78,1
1123196,99,1
1124169,117,1
1124587,113,2
1124956,99,3
1127701,81,4
1129105,91,2
1129410,88,6
1130242,114,1
1132302,106,1
1133715,101,3
1134845,83,4
1135614,106,2
1136327,88,2
1137991,87,1
1138339,81,4
1138471,97,3
1138588,93,5
1139538,103,3
1140223,96,2
1141544,76,1
1142480,121,6
1142496,83,1
1142644,93,4
1143890,116,3
1144253,76,1
1144562,117,1
1144622,78,1
1144840,101,2
1145545,76,1
1145746,88,3
1147249,96,1
1147864,99,1
1148938,101,5
1151765,121,4
1152434,86,2
1152870,96,3
1153299,99,5
1153690,101,2
1155409,117,11
1155748,80,1
1156365,76,4
1157635,89,2
1158348,96,6
1158550,81,1
1159697,76,1
1159749,121,4
1159956,106,1
1160205,101,2
1160337,91,1
1160705,120,2
1162677,93,6
1162739,93,1
1163138,96,2
1163177,103,1
1163250,121,2
1163484,121,1
1163524,88,4
1164322,120,1
1164614,76,1
1166089,99,1
1166214,99,1
1168687,76,3
1169836,96,6
1170270,77,1
1170519,94,1
1170660,75,4
1171083,88,1
1172126,88,1
1172584,101,2
1172997,96,1
1173520,101,5
1173678,99,3
1173789,77,2
1175125,91,2
1175506,86,4
1175855,91,1
1176139,117,1
1176516,116,5
1178182,91,1
1178733,96,1
1180820,77,2
1181311,119,2
1182183,81,2
1183167,88,1
1183419,93,4
1183450,93,3
1183776,88,3
1183842,91,4
1183893,88,3
1184211,83,3
1184556,103,5
1184634,115,3
1185362,96,2
1188220,93,14
1189072,96,2
1190488,86,1
1191621,103,1
1192269,106,2
1193296,96,1
1193858,93,2
1194104,88,4
1194223,76,2
1195037,93,3
1195203,77,2
1196351,96,4
1197592,114,2
1197887,91,1
1198717,111,3
1199211,79,1
1199283,96,2
1199695,93,1
1200814,113,1
1202526,76,1
1202544,120,1
1203253,91,1
1203295,117,4
1205120,119,1
1206801,83,2
1207329,91,2
1207644,103,3
1207838,91,3
1208322,117,18
1208845,113,1
1208901,81,4
1209787,105,1
1210230,91,1
1212753,77,6
1212902,77,2
1214717,124,1
1215641,93,7
1215767,101,12
1215805,75,2
1215979,77,2
1216272,113,2
1216508,99,3
1216997,103,3
1217068,93,1
1217244,96,3
1217483,115,1
1218315,101,3
1218348,88,3
1219214,76,2
1219789,88,1
1220251,91,4
1220714,88,2
1222128,75,1
1222950,90,1
1223287,123,1
1223374,75,2
1223552,104,1
1223671,93,7
1223691,88,2
1224412,113,1
1224529,115,1
1224711,99,5
1225216,101,2
1226567,123,2
1227945,83,2
1230070,108,1
1230753,88,6
1231008,81,1
1231292,100,5
1233170,75,2
1233979,102,1
1234687,114,1
1236245,106,1
1236805,99,1
1237090,121,5
1237472,121,1
1237847,86,6
1238354,93,1
1238955,99,1
1240547,113,2
1240813,96,2
1241000,121,1
1241284,75,4
1241509,91,4
1242663,81,2
1243162,96,1
1244501,101,1
1245388,80,4
1245869,103,2
1246044,96,2
1246263,101,2
1247728,86,2
1248308,111,2
1249671,111,4
1249986,91,1
1252099,113,2
1253311,106,1
1253541,113,3
1253772,82,3
1253829,122,6
1254578,76,3
1255499,99,5
1255952,75,1
1256012,76,3
1260923,106,1
1261012,81,1
1261117,121,1
1262084,101,1
1262142,104,2
1262237,85,2
1262758,81,2
1262903,83,2
1262905,81,1
1263088,75,3
1263378,122,1
1263800,96,2
1264977,96,1
1265452,106,1
1266569,106,1
1266882,76,1
1266943,106,5
1266964,81,1
1266978,106,1
1267587,82,2
1269057,103,3
1269086,96,1
1269449,81,1
1271445,86,1
1271594,85,1
1271657,79,4
1272161,96,3
1272609,106,2
1273733,106,2
1274105,91,1
1274293,106,5
1275003,76,3
1276118,96,2
1278937,101,3
1279490,117,2
1279663,106,1
1280854,91,7
1281098,88,1
1282286,88,2
1282685,91,5
1284578,81,4
1284932,88,2
1287401,81,1
1290834,123,1
1291697,88,1
1292091,88,1
1293402,99,2
1294024,93,1
1294932,91,1
1295452,96,1
1295913,97,2
1296546,101,2
1296741,121,2
1297044,89,9
1297069,81,1
1297427,99,1
1297750,91,2
1298113,88,7
1298259,88,2
1298982,96,2
1299840,108,1
1300500,92,2
1301533,83,1
1301731,86,1
1302624,86,2
1302653,92,2
1302705,86,3
1304452,116,1
1306265,79,3
1307098,91,2
1307399,81,2
1307495,91,4
1307767,99,3
1308149,83,7
1308554,88,2
1308905,113,3
1309072,78,1
1309315,118,1
1309781,83,1
1311169,109,5
1311360,103,3
1311425,103,4
1311472,93,3
1312142,107,4
1314054,116,2
1315042,98,1
1315055,96,2
1315465,117,2
1316040,96,3
1316186,111,6
1316407,88,3
1316701,93,1
1316833,81,1
1317583,88,3
1318071,93,2
1318869,93,4
1318983,93,3
1319230,96,4
1319320,96,4
1320864,103,5
1321029,77,2
1321497,107,5
1322661,106,1
1322694,88,3
1323737,76,1
1324079,117,2
1324263,103,1
1324307,77,8
1324409,107,2
1327697,76,2
1329400,116,2
1330153,111,2
1330376,88,1
1330987,88,2
1331000,77,1
1331457,81,1
1332195,114,1
1332522,88,3
1333664,95,2
1334754,95,1
1335025,101,2
1336108,96,4
1337865,83,4
1338634,78,1
1339571,95,2
1339766,117,1
1340833,117,2
1341165,79,3
1341603,117,1
1342303,122,1
1342504,114,1
1342852,96,3
1343320,75,2
1345401,88,1
1346338,93,1
1346399,117,2
1348629,117,2
1348804,93,1
1350521,88,2
1350779,110,4
1350910,97,1
1351481,99,1
1351548,99,4
1351633,96,7
1351749,96,1
1353049,100,3
1353852,99,2
1353993,99,1
1356055,117,2
1356665,92,2
1357052,92,6
1358206,92,1
1359310,116,2
1359433,92,2
1359682,75,2
1360218,99,8
1362441,94,3
1363692,78,1
1363935,111,1
1364352,90,1
1364528,101,1
1365067,117,2
1365887,77,1
1366780,117,1
1366824,96,3
1367315,117,1
1367830,106,1
1368330,114,1
1368471,96,1
1369515,101,12
1371891,96,2
1371966,81,2
1372062,77,1
1372292,122,4
1372730,82,5
1372912,111,2
1372996,80,2
1373506,110,2
1373949,119,1
1374246,123,2
1374979,103,5
1375639,76,3
1376129,102,1
1376189,99,2
1376869,114,3
1378890,96,1
1379117,96,1
1380721,122,1
1382352,85,4
1382394,76,5
1383500,93,3
1383661,96,1
1385730,96,3
1386295,88,1
1386780,117,2
1387298,76,1
1388190,111,1
1389426,89,3
1389500,99,2
1391283,103,1
1392154,79,3
1392805,80,4
1393371,88,1
1393873,117,9
1394094,117,1
1394910,97,2
